,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID3958086729,1,4,9,-37.8048419,144.9934812,-38.1109156,144.6541725,46805.0,2018-04-14,14:32:06,11300.339999999998,17:40:26,63.95
ID3389900238,1,7,1,-37.8618349,144.905716,-37.8056292,144.9372341,10684.0,2018-05-20,07:24:58,3476.159999999999,8:22:54,24.61
ID1864088280,0,7,1,-37.8618349,144.905716,-37.8034706,144.9497766,9922.0,2018-03-28,03:09:54,3286.5599999999963,4:04:40,14.28
ID1927672523,0,4,5,-37.8116295,145.0118642,-37.8092805,144.9320471,7376.0,2018-03-27,20:01:41,1859.279999999999,20:32:40,10.04
ID3492327497,1,9,7,-38.1109156,144.6541725,-37.8618349,144.905716,50797.0,2018-06-14,06:21:38,13204.979999999994,10:01:42,64.8
ID3393698791,1,3,7,-37.8250542,144.9985609,-37.8618349,144.905716,10160.0,2018-04-24,14:24:14,3223.68,15:17:57,21.55
ID1329497518,0,6,5,-37.7874421,144.9804091,-37.8006466,144.9357718,7833.0,2018-04-12,15:51:39,1959.18,16:24:18,8.45
ID3483568997,1,4,7,-37.8050284,145.0055252,-37.8618349,144.905716,12765.0,2018-07-08,08:04:40,4032.7200000000016,9:11:52,27.4
ID3977511855,1,8,9,-37.8158343,145.04645,-38.1109156,144.6541725,51032.0,2018-07-10,14:08:13,12681.059999999998,17:39:34,67.49
ID1718186186,0,4,2,-37.8137241,144.9851303,-37.8163564,144.9286491,6658.0,2018-04-12,20:03:14,1670.1000000000013,20:31:04,8.03
ID1737251847,0,7,1,-37.8128527,144.9427947,-37.8018898,144.9652971,2699.0,2018-03-01,18:45:29,649.5000000000001,18:56:18,8.33
ID3585716844,1,5,8,-37.7993535,144.9277558,-37.8158343,145.04645,10973.0,2018-07-21,14:55:01,3050.5800000000004,15:45:51,26.45
ID5973822169,2,7,4,-37.8618349,144.905716,-37.8160204,145.0111408,11864.0,2018-03-18,04:20:34,3714.299999999999,5:22:28,337.98
ID3355835645,1,4,1,-37.8137352,145.006257,-37.8136525,144.9370198,6731.0,2018-02-04,07:27:58,1748.2799999999988,7:57:06,18.2
ID3871459196,1,9,3,-38.1109156,144.6541725,-37.8161984,145.0073992,47581.0,2018-04-17,19:41:29,11431.800000000003,22:52:00,61.85
ID3474078332,1,8,1,-37.8158343,145.04645,-37.8075276,144.97136,6689.0,2018-03-21,16:38:10,1964.5199999999998,17:10:54,17.51
ID3484942798,1,4,6,-37.8233855,144.966044,-37.7874421,144.9804091,4676.0,2018-05-24,13:55:48,1209.3,14:15:57,14.38
ID3407561417,1,1,5,-37.8117726,144.97475,-37.8055534,144.9296537,4614.0,2018-03-06,01:31:40,1208.1000000000001,1:51:48,20.96
ID3430219932,1,8,7,-37.8158343,145.04645,-37.8618349,144.905716,15151.0,2018-06-22,05:47:35,4917.479999999999,7:09:32,34.88
ID1607872908,0,6,9,-37.773845,144.9836895,-38.1109156,144.6541725,48197.0,2018-07-06,19:24:49,11519.399999999998,22:36:48,20.69
ID1407779653,0,4,5,-37.8010408,144.9982112,-37.7952931,144.9310355,7679.0,2018-06-06,00:59:46,1883.8200000000006,1:31:09,12.45
ID3967177776,1,8,3,-37.807202,145.0266373,-37.8120981,144.9738677,5602.0,2018-01-22,15:10:29,1347.0599999999997,15:32:56,15.73
ID3938261370,1,4,9,-37.8043845,144.9300847,-38.1109156,144.6541725,44023.0,2018-03-21,22:13:29,10589.699999999999,1:09:58,60.43
ID1481191418,0,6,5,-37.8243866,144.9437285,-37.8149612,144.927518,2701.0,2018-02-08,01:08:19,625.7400000000009,1:18:44,10.26
ID1699055097,0,1,5,-37.8039762,144.9644026,-37.7990373,144.9326219,3049.0,2018-05-20,23:16:36,838.3800000000005,23:30:34,13.04
ID5711990099,2,3,6,-37.8248332,145.003469,-37.7738026,144.9836466,11007.0,2018-05-04,03:16:23,3160.1400000000003,4:09:03,283.88
ID1490323702,0,1,7,-37.8003886,144.9640579,-37.8618349,144.905716,9712.0,2018-04-25,22:35:12,3218.8200000000006,23:28:50,14.5
ID1641711645,0,5,3,-37.8062311,144.9395274,-37.8618349,144.905716,10906.0,2018-03-26,22:55:05,3526.26,23:53:51,15.13
ID3535004159,1,2,1,-37.8151352,144.9450883,-37.8148459,144.9375409,868.0,2018-04-16,16:29:00,205.20000000000002,16:32:25,10.33
ID3314900450,1,4,1,-37.8071628,144.9918675,-37.8201228,144.9684375,3120.0,2018-03-21,21:18:04,875.6999999999999,21:32:39,16.3
ID3147207861,1,6,1,-37.7738026,144.9836466,-37.8618349,144.905716,16033.0,2018-03-23,15:52:04,5323.559999999998,17:20:47,30.57
ID1881659890,0,5,4,-37.8056525,144.9309168,-37.8026593,145.016216,9063.0,2018-04-06,16:29:14,2387.22,17:09:01,9.33
ID3900344031,1,4,4,-37.7964505,145.0087756,-37.7874421,144.9804091,4422.0,2018-03-05,18:12:36,1184.7000000000005,18:32:20,14.96
ID1947824171,0,9,8,-38.1109156,144.6541725,-37.807202,145.0266373,49777.0,2018-01-10,06:11:40,12099.660000000003,9:33:19,20.65
ID3258659494,1,9,3,-38.1109156,144.6541725,-37.8158343,145.04645,51032.0,2018-03-09,06:26:51,12681.060000000005,9:58:12,60.83
ID3834918918,1,6,2,-37.7874421,144.9804091,-37.8158343,145.04645,8357.0,2018-05-06,10:30:52,2437.38,11:11:29,21.15
ID3971416193,1,5,3,-37.8093501,144.9315798,-37.8152997,144.9902847,6014.0,2018-06-16,06:03:41,1480.0799999999992,6:28:21,16.14
ID1322809808,0,5,2,37.81575,144.9215559,-37.8244372,144.9425415,4192.0,2018-06-02,11:26:59,1063.3800000000003,11:44:42,8.2
ID1870198994,0,7,6,37.8618349,144.905716,-37.7874421,144.9804091,11630.0,2018-01-22,05:11:53,3678.539999999999,6:13:11,14.77
ID1566212454,0,1,5,37.8207343,144.9488209,-37.8052568,144.9337541,2476.0,2018-06-28,18:00:30,628.4399999999999,18:10:58,7.27
ID3951131631,1,8,7,-37.8158343,145.04645,-37.8618349,144.905716,15151.0,2018-06-11,09:06:36,4917.479999999999,10:28:33,27.91
ID1585792707,0,1,2,37.7997903,144.965651,-37.8192478,144.9464006,3405.0,2018-01-08,01:40:03,855.9000000000003,1:54:18,9.72
ID1948816512,0,5,9,-37.8013457,144.9174425,-38.1109156,144.6541725,45115.0,2018-01-11,23:06:25,10908.24,2:08:13,25.93
ID5795867153,2,7,8,-37.8618349,144.905716,-37.8158343,145.04645,15151.0,2018-05-15,01:08:18,4911.599999999998,2:30:09,424.88
ID3820559934,1,5,2,-37.8044173,144.9346911,-37.8222521,144.9447881,2784.0,2018-02-03,05:10:58,719.7599999999999,5:22:57,21.6
ID1232488033,0,1,4,-37.8014555,144.9689442,-37.8007,144.9926214,2365.0,2018-01-14,23:45:02,565.9199999999998,23:54:27,15.07
ID5390961998,2,8,7,37.8158343,145.04645,-37.8618349,144.905716,15151.0,2018-07-08,02:20:19,4917.479999999999,3:42:16,433.31
ID5398818972,2,1,3,-37.8046901,144.9716922,-37.8169015,144.9706053,2206.0,2018-02-24,07:41:01,501.65999999999997,7:49:22,59.5
ID3375003489,1,2,3,-37.8197232,144.9468102,37.8223062,144.9967359,4918.0,2018-05-06,00:51:50,1194.8400000000001,1:11:44,23.66
ID1656977357,0,1,3,-37.8019171,144.9571681,-37.8232504,145.0068485,5717.0,2018-03-18,09:50:32,1325.88,10:12:37,8.86
ID5198111718,2,7,2,-37.8618349,144.905716,37.8152389,144.9364361,10481.0,2018-04-18,02:03:28,3432.6599999999985,3:00:40,307.95
ID1348170568,0,5,9,-37.8013501,144.937552,38.1109156,144.6541725,44039.0,2018-04-26,06:02:45,10575.84,8:59:00,17.02
ID3430654677,1,9,6,-38.1109156,144.6541725,-37.773845,144.9836895,48197.0,2018-04-11,09:54:23,11495.340000000007,13:05:58,56.56
ID1942818216,0,3,6,-37.8232442,144.9680212,-37.7874421,144.9804091,4606.0,2018-03-11,18:07:09,1192.26,18:27:01,11.19
ID1333659752,0,8,3,-37.807202,145.0266373,-37.8291827,144.9878646,6554.0,2018-05-28,19:54:17,1604.0400000000002,20:21:01,9.5
ID1253580195,0,1,5,-37.8078889,144.9730386,37.8093112,144.9296687,4745.0,2018-05-24,14:16:34,1224.42,14:36:58,9.93
ID1847012773,0,5,6,-37.7998166,144.9362469,37.773845,144.9836895,6436.0,2018-06-05,09:00:47,1464.06,9:25:11,3.95
ID3891892639,1,7,9,-37.8618349,144.905716,-38.1109156,144.6541725,50797.0,2018-07-23,01:41:46,13173.359999999999,5:21:19,71.72
ID1996137119,0,6,5,-37.7874325,144.9803767,-37.8078294,144.9340727,6045.0,2018-04-13,18:00:35,1633.8,18:27:48,8.33
ID1794843296,0,5,8,-37.7964033,144.930983,-37.8158343,145.04645,11493.0,2018-03-23,23:45:15,3150.0600000000004,0:37:45,11.94
ID3312717617,1,6,1,-37.7738026,144.9836466,-37.8132424,144.9513894,8586.0,2018-03-25,17:28:46,2712.599999999998,18:13:58,25.67
ID1444921867,0,9,5,-38.1109156,144.6541725,-37.8100144,144.9360754,42791.0,2018-07-01,01:23:29,10247.459999999997,4:14:16,27.08
ID5482216292,2,9,3,-38.1109156,144.6541725,-37.8176644,144.9705281,44046.0,2018-07-20,18:05:13,10653.400000000001,21:02:03,874.7
ID1239402517,0,4,6,-37.8022962,145.012452,-37.773845,144.9836895,7269.0,2018-07-20,01:24:33,1630.1400000000008,1:51:43,12.09
ID1130374210,0,6,7,-37.7738026,144.9836466,-37.8618349,144.905716,16033.0,2018-07-26,21:16:15,5312.559999999998,22:44:58,14.09
ID3169373548,1,5,4,-37.807841,144.938431,-37.8096666,144.9926783,5374.0,2018-05-15,21:18:15,1308.5999999999997,21:40:03,18.14
ID3673451017,1,2,6,-37.8148596,144.9235134,-37.773845,144.9836895,8935.0,2018-02-07,19:26:53,2088.9600000000005,20:01:41,17.41
ID5757667676,2,1,6,-37.8162679,144.9372252,-37.7738026,144.9836466,10017.0,2018-02-04,18:45:34,3040.6800000000003,19:36:23,273.33
ID3512657097,1,2,7,-37.8217092,144.9487024,-37.8618349,144.905716,8843.0,2018-02-02,08:37:13,3000.42,9:27:13,19.18
ID1221515353,0,2,4,-37.8134973,144.937773,-37.8007346,145.0020597,7002.0,2018-06-23,08:58:09,1806.5999999999995,9:28:15,8.89
ID3546935709,1,4,2,-37.8148938,145.0142805,-37.8173862,144.9459383,7083.0,2018-07-01,20:18:15,1933.360000000001,20:49:12,20.29
ID3394564975,1,6,4,-37.7908183,144.9857929,-37.8129078,145.0107621,4555.0,2018-03-21,01:59:03,1146.1200000000001,2:18:09,20.69
ID5207439659,2,9,5,-38.1109156,144.6541725,-37.8065033,144.9322127,43543.0,2018-06-28,15:13:37,10512.899999999994,18:07:25,858.64
ID3148231231,1,1,3,-37.8210479,144.9430036,-37.8196565,144.9754744,3150.0,2018-03-07,00:28:59,773.8400000000001,0:41:29,17.24
ID3661021817,1,9,6,-38.1109156,144.6541725,-37.773845,144.9836895,48197.0,2018-06-17,10:44:50,11495.340000000007,13:56:25,60.92
ID1300122665,0,3,7,-37.8142944,145.0062345,-37.8618349,144.905716,11553.0,2018-04-11,10:23:30,3600.4800000000005,11:23:30,8.88
ID5347513787,2,9,1,-38.1109156,144.6541725,-37.8205486,144.953632,42516.0,2018-02-09,08:41:38,10217.760000000002,11:32:19,835.21
ID1422054926,0,9,4,-38.1109156,144.6541725,-37.8109953,145.000582,46946.0,2018-04-08,01:48:15,11231.58,4:55:26,28.57
ID3618763974,1,8,4,-37.8158343,145.04645,-37.807418,144.9989152,4527.0,2018-02-07,17:38:48,1512.9799999999998,18:02:52,16.83
ID5243827248,2,3,4,-37.8195513,144.9931641,-37.8098635,144.9938496,1362.0,2018-06-17,11:50:40,324.46000000000004,11:56:21,46.75
ID3776300127,1,6,4,-37.7874421,144.9804091,-37.8034921,145.0195903,5629.0,2018-03-19,13:02:16,1477.26,13:26:53,15.22
ID3954150433,1,5,1,-37.818711,144.9167989,-37.8188914,144.9654683,4768.0,2018-05-15,08:46:17,1183.0000000000007,9:06:17,9.02
ID3425534759,1,5,1,-37.805337,144.9375987,-37.8148797,144.9662658,3304.0,2018-04-14,00:39:42,852.2400000000004,0:53:54,22.61
ID3826730735,1,6,7,-37.7907967,144.985865,-37.8618349,144.905716,11711.0,2018-04-23,01:07:17,3866.9400000000014,2:11:43,32.1
ID5658073399,2,9,4,-38.1109156,144.6541725,-37.7992455,144.9878902,46642.0,2018-01-15,13:02:30,11239.080000000005,16:09:49,923.56
ID1849210273,0,1,8,-37.8018082,144.9568764,-37.8158343,145.04645,8226.0,2018-02-18,01:05:46,2282.04,1:43:48,16.8
ID5382981592,2,3,2,-37.821301,145.0033795,-37.8204191,144.926592,7402.0,2018-07-15,15:44:35,1770.300000000001,16:14:05,169.17
ID1266893269,0,7,5,-37.8618349,144.905716,-37.8061183,144.9342142,10806.0,2018-06-17,11:48:31,3467.1599999999994,15:17:34,11.82
ID3826011252,1,9,8,-38.1109156,144.6541725,-37.8158343,145.04645,51032.0,2018-02-22,12:00:49,12681.060000000005,15:32:10,67.11
ID1897578976,0,9,1,-38.1109156,144.6541725,-37.8086131,144.9590029,43479.0,2018-04-27,14:49:29,10520.940000000006,17:44:49,21.77
ID3325257946,1,8,6,-37.807202,145.0266373,-37.7874421,144.9804091,5789.0,2018-05-11,07:27:37,1492.6800000000003,11:45:15,11.78
ID3355474441,1,6,3,-37.7907967,144.985865,-37.8198719,144.9844337,3525.0,2018-01-16,11:20:49,992.1600000000003,17:47:31,8.46
ID1724624949,0,5,3,-37.804485,144.9266743,-37.8251142,144.9819481,6360.0,2018-07-06,15:55:44,1640.52,22:11:28,8.31
ID1472406278,0,2,1,-37.8213826,144.946364,-37.8068766,144.9449831,2025.0,2018-04-10,02:33:49,486.0600000000001,2:41:55,10.48
ID1492861166,0,4,3,-37.803444,145.0109935,-37.8213127,144.9692297,5286.0,2018-06-08,22:30:59,1491.420000000001,22:55:50,12.73
ID1567223914,0,2,8,-37.8212573,144.9424304,-37.8158343,145.04645,9814.0,2018-03-03,15:35:12,2816.760000000001,17:03:46,13.4
ID1411970376,0,6,3,-37.7907967,144.985865,-37.8129991,144.9739954,3120.0,2018-02-27,17:20:34,873.2999999999998,21:59:32,7.73
ID3454889077,1,8,7,-37.8158343,145.04645,-37.8618349,144.905716,15151.0,2018-06-11,20:00:32,4917.479999999999,21:22:29,31.62
ID3691519413,1,3,8,-37.8224899,144.9932873,-37.807202,145.0266373,4629.0,2018-06-17,17:12:32,1117.8000000000004,23:09:19,17.31
ID1518519695,0,9,1,-38.1109156,144.6541725,-37.8014402,144.9663684,44723.0,2018-06-24,19:26:16,10802.040000000005,22:26:18,24.76
ID5901061147,2,7,3,-37.8618349,144.905716,-37.825303,144.9715978,8271.0,2018-02-13,17:00:51,2840.6399999999994,22:11:51,246.86
ID3182945996,1,4,9,-37.8027833,145.0021507,-38.1109156,144.6541725,47615.0,2018-04-13,08:23:13,11530.56,14:26:39,57.49
ID3698700606,1,7,4,-37.8618349,144.905716,-37.8166264,145.0073186,11446.0,2018-02-25,22:01:54,3603.419999999999,3:19:20,34.96
ID3608727374,1,2,7,-37.8181278,144.9294773,-37.8618349,144.905716,10932.0,2018-07-11,19:32:25,3602.9400000000005,20:32:27,25.29
ID5860505668,2,7,2,-37.8618349,144.905716,-37.8129499,144.9392879,10219.0,2018-04-05,01:27:47,3361.019999999999,2:23:48,299.11
ID1870137407,0,6,1,-37.7908183,144.9857929,-37.8128255,144.9738022,3123.0,2018-03-24,17:34:19,791.1599999999995,17:47:30,10.72
ID3384558804,2,2,4,-37.8104078,144.9272887,-37.7999508,144.9891929,6864.0,2018-07-01,06:39:32,1795.8600000000006,7:09:27,17.55
ID3945683844,1,7,5,-37.8618349,144.905716,-37.8149732,144.9273875,11825.0,2018-06-08,06:17:47,3802.5599999999968,7:21:09,21.94
ID5209482439,2,6,8,-37.7908183,144.9857929,-37.807202,145.0266373,4835.0,2018-01-15,07:28:22,1248.9600000000003,7:49:10,110.93
ID1128338870,0,4,5,-37.8025582,144.9930549,-37.811232,144.9354874,6067.0,2018-05-04,14:46:17,1466.52,15:10:43,9.37
ID1422924139,3,9,5,-38.1109156,144.6541725,-37.8097993,144.9359663,42813.0,2018-01-11,11:28:36,10253.159999999994,14:19:29,16.88
ID3153800244,1,2,4,-37.8216102,144.9439044,-37.812831,145.016109,7907.0,2018-04-20,12:32:44,2041.1400000000003,13:06:45,20.67
ID3782087780,2,5,9,-37.8050435,144.937083,-38.1109156,144.6541725,43332.0,2018-05-18,06:08:56,10389.539999999999,9:02:05,52.64
ID3550166823,1,8,2,-37.8158343,145.04645,-37.8151294,144.9352547,10195.0,2018-07-14,21:24:39,2847.1799999999985,22:12:06,29.57
ID5518414299,1,4,3,-37.8010981,144.9951859,-37.818898,145.0025945,2628.0,2018-06-14,14:04:49,663.2400000000002,14:15:52,74.43
ID1792372235,0,5,4,-37.8048323,144.9327615,-37.8000294,144.9999439,6851.0,2018-04-15,14:41:03,1761.6599999999999,15:10:24,11.42
ID3497252680,1,4,6,-37.8048737,145.0036689,-37.7874325,144.9803767,4271.0,2018-04-19,09:43:51,1110.1200000000003,10:02:21,10.69
ID1158542879,1,9,2,-38.1109156,144.6541725,-37.8232812,144.938265,43027.0,2018-06-24,06:53:25,10333.199999999999,9:45:38,20.67
ID1241468609,0,2,5,-37.8123666,144.9382466,-37.8045023,144.9205482,2077.0,2018-01-22,00:07:51,566.94,0:17:17,10.15
ID1341834001,0,4,7,-37.8051002,145.0150051,-37.8618349,144.905716,12981.0,2018-07-26,23:13:56,4058.1600000000017,0:21:34,15.42
ID1557490732,0,7,4,-37.8618349,144.905716,-37.8042708,145.0111606,12697.0,2018-05-22,17:20:22,4021.619999999998,18:27:23,11.49
ID3908526834,1,8,6,-37.8158343,145.04645,-37.7907967,144.985865,7470.0,2018-04-12,06:57:10,2302.3800000000006,7:35:32,14.52
ID5781324023,2,2,4,-37.8187646,144.9164875,-37.8101386,145.0007316,7915.0,2018-02-11,18:38:49,2033.7000000000007,19:12:42,191.86
ID1227930947,1,6,9,-37.7738026,144.9836466,-38.1109156,144.6541725,51061.0,2018-02-15,08:07:42,12976.499999999996,11:43:58,21.75
ID3822412452,2,1,7,-37.8145912,144.9469568,-37.8618349,144.905716,9377.0,2018-01-08,01:56:31,3150.48,2:49:01,27.03
ID3721136865,2,2,4,-37.8141871,144.934041,-37.8042359,144.9923657,6324.0,2018-02-20,01:26:17,1576.26,1:52:33,21.4
ID1983032782,0,3,4,-37.8232442,144.9687669,-37.8110588,145.0010268,4025.0,2018-05-02,14:44:42,1064.5800000000004,15:02:26,7.46
ID3855735758,3,8,5,-37.8158343,145.04645,-37.8019292,144.9367901,10319.0,2018-04-22,12:17:29,2871.2400000000002,13:05:20,24.8
ID3597923007,1,9,7,-38.1109156,144.6541725,-37.8618349,144.905716,50797.0,2018-06-23,18:28:18,13204.979999999994,22:08:22,73.33
ID1638936269,0,6,9,-37.773845,144.9836895,-38.1109156,144.6541725,48197.0,2018-04-27,12:47:03,11519.399999999998,15:59:02,23.29
ID1786113925,0,7,5,-37.8618349,144.905716,-37.8046039,144.9102956,12885.0,2018-02-19,15:21:56,4131.299999999999,16:30:47,12.48
ID1539995921,0,7,4,-37.8618349,144.905716,-37.8029669,144.9971376,11433.0,2018-04-26,18:14:20,3745.439999999998,17:11:55,10.8
ID1867476425,0,8,2,-37.807202,145.0266373,-37.8242904,144.945174,8586.0,2018-01-10,3:02:23,2201.1600000000003,02:25:42,13.5
ID1449123489,0,6,4,-37.7738026,144.9836466,-37.8055647,144.9944437,8629.0,2018-03-20,18:37:13,2662.799999999999,17:52:51,8.83
ID3430665162,1,1,2,-37.8202035,144.9508832,-37.8148243,144.9376494,1820.0,2018-01-03,3:13:22,451.56,03:05:51,15.42
ID3710241082,1,5,7,-37.8067098,144.9089836,-37.8618349,144.905716,12954.0,2018-04-21,09:55:24,4075.140000000001,11:03:19,28.53
ID1121905497,0,8,5,-37.8158343,145.04645,-37.8016298,144.9211476,11321.0,2018-06-05,02:09:34,3243.959999999998,3:03:37,13.26
ID5174076157,2,8,5,-37.807202,145.0266373,-37.8048107,144.9281335,9424.0,2018-03-26,01:23:00,2412.659999999999,2:03:12,223.03
ID1975153999,0,8,6,-37.807202,145.0266373,-37.773845,144.9836895,8606.0,2018-04-14,20:39:48,2001.8400000000001,20:06:27,11.89
ID1743248910,0,2,5,-37.8152787,144.9386788,-37.805884,144.9366626,1380.0,2018-03-26,11:23:14,347.28,11:29:01,3.7
ID3477728052,1,4,7,-37.8112323,145.0034029,-37.8618349,144.905716,11323.0,2018-05-23,19:37:30,3671.340000000001,18:36:19,24.12
ID3906728540,1,9,4,-38.1109156,144.6541725,-37.8108562,145.015583,48723.0,2018-03-19,16:00:53,11774.460000000005,19:17:07,61.24
ID3433670989,1,4,6,-37.8110388,145.005486,-37.7874421,144.9804091,4714.0,2018-07-11,18:14:31,1223.4000000000003,18:34:54,14.19
ID1810937371,0,7,4,-37.8618349,144.905716,-37.8127925,145.0105819,12117.0,2018-04-16,10:41:03,3787.859999999999,09:37:56,5.78
ID5122277471,2,6,7,-37.7738026,144.9836466,-37.8618349,144.905716,16033.0,2018-04-26,6:02:49,5323.559999999998,04:34:06,458.4
ID1666533475,0,2,6,-37.8140304,144.9396809,-37.7874325,144.9803767,5644.0,2018-02-07,9:57:24,1427.4000000000003,09:33:37,5.64
ID3634726329,1,3,9,-37.8158525,144.9880066,-38.1109156,144.6541725,45745.0,2018-04-01,14:11:52,10950.9,17:14:22,62.25
ID3810059518,1,6,3,-37.773845,144.9836895,-37.8244881,144.9829643,6538.0,2018-05-15,23:09:51,1454.2800000000009,23:34:05,18.54
ID3733317408,1,2,5,-37.8154311,144.928168,-37.8093172,144.9340149,2732.0,2018-06-10,10:19:00,707.7599999999999,10:30:47,12.34
ID1869318050,0,5,9,-37.8129796,144.9336409,-38.1109156,144.6541725,43754.0,2018-02-08,02:36:48,10507.98,5:31:55,23.7
ID3516492654,1,4,5,-37.8042805,144.9928486,-37.8148825,144.9271154,7548.0,2018-02-21,03:20:21,1923.000000000002,3:52:24,21.23
ID1614821389,0,3,4,-37.821673,144.9811432,-37.8005595,144.9929871,3249.0,2018-07-03,20:56:50,868.3799999999998,20:42:22,7.1
ID3690168448,1,5,3,-37.8152417,144.9276167,-37.8191473,144.9847422,6636.0,2018-03-28,22:09:57,1550.3400000000008,22:35:47,20.21
ID3573752709,1,7,3,-37.8618349,144.905716,-37.8153039,144.9748912,8438.0,2018-04-17,16:14:52,2922.9599999999987,17:03:34,21.33
ID1864874196,0,9,2,-38.1109156,144.6541725,-37.8118628,144.9383351,42545.0,2018-03-04,01:30:43,10190.279999999997,4:20:33,26.28
ID1768026242,0,7,8,-37.8618349,144.905716,-37.807202,145.0266373,13986.0,2018-03-16,05:45:19,4292.399999999998,6:56:51,17.42
ID5368988582,2,8,4,-37.807202,145.0266373,-37.8110388,145.005486,2482.0,2018-04-09,11:17:21,585.0,11:27:06,58.57
ID3669527368,1,2,8,-37.8180076,144.9472038,-37.8158343,145.04645,9373.0,2018-01-12,14:19:09,2582.5200000000004,15:02:11,22.01
ID3523874458,1,4,3,-37.8035393,144.9944731,-37.8261584,145.0024687,3229.0,2018-17-02,00:04:23,798.0,0:17:41,18.92
ID3703692937,1,6,2,-37.773845,144.9836895,-37.8114219,144.9366916,7544.0,2018-04-04,18:10:22,1676.159999999999,18:38:18,15.42
ID1192352341,0,6,7,-37.773845,144.9836895,-37.8618349,144.905716,13169.0,2018-02-11,06:00:50,3866.460000000001,7:05:16,12.98
ID1392324067,0,7,5,-37.8618349,144.905716,-37.8038491,144.9181006,12287.0,2018-03-20,04:45:51,3999.419999999999,5:52:30,15.96
ID1868646726,0,8,3,-37.807202,145.0266373,-37.8082869,144.9836428,4423.0,2018-27-01,22:22:01,1128.0600000000004,22:40:49,15.32
ID5550522139,2,5,6,-37.8122845,144.9232182,-37.7874325,144.9803767,7349.0,2018-07-23,10:53:44,1905.1800000000007,11:25:29,163.11
ID1619449970,0,9,1,-38.1109156,144.6541725,-37.8220936,144.9635461,43631.0,2018-27-02,14:47:23,10601.339999999995,17:44:04,21.82
ID1901676001,0,5,7,-37.8023534,144.9305568,-37.8618349,144.905716,11522.0,2018-05-22,22:55:04,3549.3,23:54:13,15.26
