,Unnamed: 0,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
48,ID1965008448,0,6,4,-37.7908183,144.9857929,-37.7998811,144.9983579,2227.0,2018-03-21,13:23:18,532.74,13:32:10,9.84
49,ID3719083469,1,5,4,-37.8149767,144.9275019,-37.8014087,145.0020552,8537.0,2018-01-07,22:07:37,2208.060000000001,22:44:25,27.89
50,ID1827110751,0,4,2,-37.802469099999996,145.0033649,-37.8185297,144.94844840000002,6054.0,2018-06-01,09:09:11,1500.0600000000006,9:34:11,5.77
51,ID5630856889,2,6,3,-37.7874421,144.9804091,-37.8246131,144.982916,4802.0,2018-04-17,10:27:54,1264.62,10:48:58,107.37
52,ID1822860137,0,7,9,-37.8618349,144.90571599999998,-38.1109156,144.65417250000002,50797.0,2018-07-10,04:48:32,13173.36,8:28:05,34.64
53,ID1401328929,0,3,5,-37.8256126,144.99736919999998,-37.811325,144.9269538,7216.0,2018-05-05,14:13:00,1877.4599999999994,14:44:17,18.72
54,ID3306954058,1,9,4,-38.1109156,144.65417250000002,-37.801275,145.0036219,47875.0,2018-06-03,21:51:04,11623.260000000006,1:04:47,69.2
55,ID3523426075,1,7,1,-37.8618349,144.90571599999998,-37.8197302,144.96825230000002,7539.0,2018-06-11,14:10:07,2638.32,14:54:05,11.35
56,ID3389396754,1,3,6,-37.8223443,144.99848799999998,-37.7874421,144.9804091,5229.0,2018-01-20,19:13:12,1318.3200000000004,19:35:10,19.46
57,ID3306017816,1,3,7,-37.8188878,144.98179309999998,-37.8618349,144.90571599999998,8879.0,2018-07-23,12:03:35,2950.56,12:52:45,22.37
58,ID1358323345,0,2,8,-37.815213899999996,144.9355033,-37.8158343,145.04645,10164.0,2018-04-28,17:00:43,2847.3,17:48:10,18.23
59,ID5361509618,2,6,2,-37.773845,144.9836895,-37.8233121,144.9406361,8016.0,2018-02-26,21:45:44,1829.400000000001,22:16:13,166.77
60,ID3558989314,1,9,4,-38.1109156,144.65417250000002,-37.8099266,144.9945944,46428.0,2018-02-09,04:47:07,11132.400000000005,7:52:39,63.65
61,ID1186125397,0,3,2,-37.8167964,145.00726830000002,-37.8197896,144.9425883,6254.0,2018-02-05,14:26:53,1474.740000000001,14:51:27,11.46
62,ID1775881850,0,5,6,-37.8068662,144.93878059999997,-37.773845,144.9836895,7135.0,2018-07-10,00:25:51,1567.3200000000004,0:51:58,8.17
63,ID3445429698,1,2,5,-37.8239393,144.93065380000002,-37.8105624,144.9364836,2929.0,2018-03-23,01:23:58,727.2600000000001,1:36:05,15.94
64,ID1682214518,0,9,1,-38.1109156,144.65417250000002,-37.8172189,144.9680139,43874.0,2018-05-12,21:46:08,10570.919999999991,0:42:18,18.285
65,ID1648121428,0,2,3,-37.8173862,144.94593830000002,-37.8202117,144.9777365,3290.0,2018-03-18,21:39:20,805.4400000000003,21:52:45,19.72
66,ID1597414039,0,6,8,-37.7908183,144.9857929,-37.8158343,145.04645,7471.0,2018-03-02,15:56:46,2192.7000000000007,16:33:18,6.42
67,ID5882977072,2,5,1,-37.806212,144.9353959,-37.8188327,144.95331769999999,2296.0,2018-07-02,04:59:21,524.7,5:08:05,67.72
68,ID3735125481,1,3,8,-37.819873,144.9850654,-37.8158343,145.04645,6279.0,2018-05-23,09:39:27,1920.12,10:11:27,12.67
69,ID1689247930,0,5,1,-37.814960799999994,144.92755280000003,-37.8067581,144.9610755,4409.0,2018-06-24,07:18:48,1101.0600000000004,7:37:09,10.24
70,ID1144137284,0,4,8,-37.8104815,145.015893,-37.8158343,145.04645,4278.0,2018-02-27,09:56:10,1357.86,10:18:47,5.11
71,ID3337691663,1,4,9,-37.8037783,145.00523959999998,-38.1109156,144.65417250000002,47794.0,2018-01-21,14:06:04,11579.7,17:19:03,62.85
72,ID3442821306,1,3,6,-37.8116972,144.9835727,-37.7874325,144.9803767,3199.0,2018-06-20,19:32:25,810.96,19:45:55,13.16
73,ID3728370976,1,8,2,-37.8158343,145.04645,-37.821585999999996,144.94507219999997,9552.0,2018-01-27,03:21:16,2749.259999999999,4:07:05,30.83
74,ID5316088364,2,3,5,-37.8141203,144.9716676,-37.803636100000006,144.9322365,4200.0,2018-07-09,13:57:04,1082.04,14:15:06,102.37
75,ID5643385197,2,2,8,-37.8180074,144.9317997,-37.807202000000004,145.0266373,9336.0,2018-03-12,22:07:09,2401.38,22:47:10,209.59
76,ID5262512856,2,9,3,-38.1109156,144.65417250000002,-37.8193391,144.98325359999998,45387.0,2018-05-08,12:44:57,10921.859999999988,15:46:58,836.95
77,ID1345893103,0,5,6,-37.806189200000006,144.92946659999998,-37.773845,144.9836895,7698.0,2018-05-17,15:02:16,1723.3200000000004,15:30:59,11.37
78,ID1561504047,0,3,7,-37.813381,144.97386930000002,-37.8618349,144.90571599999998,8609.0,2018-04-18,13:33:50,2921.76,14:22:31,7.465
79,ID3688441110,1,2,9,-37.8165715,144.93772019999997,-38.1109156,144.65417250000002,42520.0,2018-01-15,06:49:06,10207.5,9:39:13,49.23
80,ID1478100003,0,4,6,-37.810925399999995,145.0099629,-37.7874325,144.9803767,5377.0,2018-04-10,20:11:00,1346.4600000000005,20:33:26,10.96
81,ID1855228802,0,6,5,-37.7738026,144.98364660000001,-37.79883579999999,144.9358923,7272.0,2018-05-21,11:11:33,2170.74,11:47:43,6.15
82,ID3308478265,1,9,3,-38.1109156,144.65417250000002,-37.812584,144.97261569999998,44259.0,2018-06-22,16:53:37,10667.280000000002,19:51:24,56.63
83,ID1320465901,0,4,8,-37.799437899999994,145.00364219999997,-37.8158343,145.04645,5017.0,2018-02-28,14:17:46,1571.16,14:43:57,10.89
84,ID3429586546,1,5,6,-37.8065726,144.9322385,-37.7874421,144.9804091,6290.0,2018-01-17,10:12:52,1665.3000000000009,10:40:37,12.86
85,ID1437871113,0,8,7,-37.807202000000004,145.0266373,-37.8618349,144.90571599999998,13986.0,2018-07-10,20:06:52,4298.280000000002,21:18:30,14.52
86,ID1120212043,0,6,8,-37.7908183,144.9857929,-37.807202000000004,145.0266373,4835.0,2018-07-28,21:43:07,1248.9600000000005,22:03:55,19.77
87,ID1811641604,0,6,1,-37.7874421,144.9804091,-37.8039689,144.9582379,3600.0,2018-01-05,22:07:12,922.5000000000003,22:22:34,15.4
88,ID3887737560,1,1,2,-37.8136016,144.9572596,-37.815493599999996,144.93880890000003,2038.0,2018-03-14,02:49:57,573.1800000000002,2:59:30,17.31
89,ID5971629195,2,8,5,-37.8158343,145.04645,-37.8141155,144.93287619999998,11060.0,2018-06-17,03:50:39,3087.179999999999,4:42:06,133.29
90,ID1251943362,0,4,7,-37.8166816,145.0089196,-37.8618349,144.90571599999998,11608.0,2018-02-12,10:32:47,3650.16,11:33:37,8.92
91,ID1627636262,0,5,9,-37.8133487,144.9312518,-38.1109156,144.65417250000002,43973.0,2018-03-02,00:27:19,10584.6,3:23:43,15.27
92,ID1739117389,0,3,5,-37.8083996,144.9940322,-37.8136538,144.93060269999998,6836.0,2018-05-18,19:07:36,1735.1999999999994,19:36:31,12.42
93,ID1276078789,0,2,7,-37.817115,144.9321309,-37.8618349,144.90571599999998,10785.0,2018-04-13,10:03:07,3578.2200000000007,11:02:45,10.31
94,ID1224888155,0,1,6,-37.8000984,144.9758031,-37.7874421,144.9804091,1642.0,2018-03-16,03:13:46,398.58,3:20:24,14.39
95,ID3501702158,1,5,8,-37.8115739,144.92991130000001,-37.8158343,145.04645,11462.0,2018-01-23,14:26:25,3192.12,15:19:37,23.46
96,ID3829877818,1,9,2,-38.1109156,144.65417250000002,-37.814923,144.93756489999998,42616.0,2018-05-26,23:55:29,10213.019999999997,2:45:42,31.07
97,ID1910801567,0,6,4,-37.7907967,144.985865,-37.8075236,144.99565869999998,2777.0,2018-01-13,23:13:18,796.8,23:26:34,20.84
98,ID3922908019,1,6,7,-37.773845,144.9836895,-37.8618349,144.90571599999998,13169.0,2018-05-18,23:17:15,3866.4600000000014,0:21:41,33.0
99,ID5969958907,2,7,1,-37.8618349,144.90571599999998,-37.8064327,144.94494,10094.0,2018-01-20,09:00:50,3369.239999999997,9:56:59,272.7
100,ID1143649342,0,7,4,-37.8618349,144.90571599999998,-37.7997424,144.9920191,11321.0,2018-02-17,00:13:29,3696.119999999998,1:15:05,25.28
101,ID3212733105,1,5,9,-37.8045967,144.9196376,-38.1109156,144.65417250000002,44432.0,2018-02-05,20:31:05,10617.6,23:28:02,55.39
102,ID1858423338,0,4,7,-37.8028881,145.0029594,-37.8618349,144.90571599999998,11933.0,2018-01-05,13:25:02,3826.9800000000014,14:28:48,15.68
103,ID1758455394,0,7,1,-37.8618349,144.90571599999998,-37.806614399999994,144.96146159999998,9004.0,2018-02-12,00:10:16,3043.739999999999,1:00:59,18.96
104,ID3476288224,1,8,1,-37.8158343,145.04645,-37.8120784,144.95342309999998,8424.0,2018-07-06,19:19:00,2398.439999999999,19:58:58,20.53
105,ID3919183036,1,6,7,-37.7874421,144.9804091,-37.8618349,144.90571599999998,11630.0,2018-07-14,08:04:26,3697.0200000000013,9:06:03,12.435
106,ID3616386241,1,2,8,-37.826394,144.9519017,-37.807202000000004,145.0266373,8117.0,2018-03-03,06:27:44,2086.92,7:02:30,18.36
107,ID3446777737,1,3,5,-37.81658779999999,144.98765869999997,-37.8115093,144.93579580000002,5414.0,2018-05-15,19:39:50,1289.0999999999995,20:01:19,15.61
108,ID1788595640,0,1,6,-37.809024799999996,144.9469103,-37.773845,144.9836895,6167.0,2018-01-10,16:06:45,1327.38,16:28:52,11.92
109,ID5794689210,2,8,1,-37.807202000000004,145.0266373,-37.820266100000005,144.9667509,6709.0,2018-03-22,23:35:17,1702.9800000000007,0:03:39,158.1
110,ID1526398561,0,2,3,-37.825320700000006,144.9533112,-37.8239891,144.9846665,3102.0,2018-03-01,21:38:41,782.2200000000001,21:51:43,15.43
111,ID3836008925,1,3,6,-37.8210367,144.9771467,-37.773845,144.9836895,5933.0,2018-05-10,21:22:17,1275.06,21:43:32,18.85
112,ID3812296037,1,5,6,-37.814625799999995,144.9281072,-37.7907967,144.985865,7660.0,2018-07-28,06:21:55,2089.620000000001,6:56:44,17.65
113,ID1271548161,0,9,1,-38.1109156,144.65417250000002,-37.8168814,144.9655878,43621.0,2018-06-26,14:10:27,10544.039999999997,17:06:11,26.28
114,ID1386352863,0,1,4,-37.805499299999994,144.9591122,-37.80012670000001,145.0183189,6110.0,2018-02-05,11:31:21,1626.1200000000006,11:58:27,4.325
115,ID1340410598,0,7,1,-37.8618349,144.90571599999998,-37.807769799999996,144.94871919999997,9661.0,2018-03-06,02:42:03,3239.879999999997,3:36:02,18.96
